Date,Open,High,Low,Close,Adj Close,Volume
2016-05-11,207.910,208.540,206.500,206.500,191.976,81727000
2016-05-12,207.290,207.490,205.370,206.560,192.031,89586300
2016-05-13,206.210,206.860,204.380,204.760,190.358,96474600
2016-05-16,204.960,207.340,204.890,206.780,192.236,77486800
2016-05-17,206.460,206.800,204.230,204.850,190.442,114924900
2016-05-18,204.440,206.300,203.630,204.910,190.497,120062100
2016-05-19,204.060,204.540,202.780,204.200,189.837,115430500
2016-05-20,204.920,206.100,204.860,205.490,191.037,104990400
2016-05-23,205.510,205.840,204.990,205.210,190.776,58682600
2016-05-24,206.170,208.240,206.140,207.870,193.249,93537800
2016-05-25,208.670,209.770,207.870,209.280,194.560,76621400
2016-05-26,209.440,209.710,208.970,209.340,194.616,55280700
2016-05-27,209.530,210.250,209.470,210.240,195.452,64211200
2016-05-31,210.560,210.690,209.180,209.840,195.081,109879400
2016-06-01,209.120,210.480,208.890,210.270,195.480,69936200
2016-06-02,209.800,210.930,209.240,210.910,196.075,63044700
2016-06-03,210.250,210.690,208.860,210.280,195.490,101757100
2016-06-06,210.700,211.770,210.510,211.350,196.484,64887000
2016-06-07,211.530,212.340,211.500,211.680,196.791,60974800
2016-06-08,211.840,212.520,211.690,212.370,197.433,66170900
2016-06-09,211.510,212.220,211.190,212.080,197.163,73786900
2016-06-10,210.460,210.860,209.430,210.070,195.294,113829200
2016-06-13,209.360,210.370,208.350,208.450,193.788,117751200
2016-06-14,208.000,208.740,206.920,208.040,193.407,125059300
2016-06-15,208.040,209.360,207.530,207.750,193.138,109124500
2016-06-16,207.750,208.570,205.590,208.370,193.714,149533100
2016-06-17,207.170,207.200,205.750,206.520,192.993,117055700
2016-06-20,208.820,209.610,207.750,207.850,194.235,82789600
2016-06-21,208.300,208.920,207.780,208.440,194.787,72461700
2016-06-22,208.650,209.500,207.930,208.100,194.469,95560500
2016-06-23,209.810,210.870,209.270,210.810,197.002,102731400
2016-06-24,203.630,210.850,202.720,203.240,189.927,333444400
2016-06-27,201.590,201.600,198.650,199.600,186.526,230775800
2016-06-28,201.480,203.230,201.120,203.200,189.890,159382400
2016-06-29,204.840,206.930,204.720,206.660,193.123,137328600
2016-06-30,207.210,209.540,206.560,209.480,195.759,165021900
2016-07-01,209.480,210.490,209.290,209.920,196.170,106055300
2016-07-05,208.950,209.080,207.710,208.410,194.759,109803700
2016-07-06,207.830,209.800,207.060,209.660,195.927,96021500
2016-07-07,209.870,210.650,208.630,209.530,195.805,85593800
2016-07-08,211.050,212.940,210.780,212.650,198.721,133971000
2016-07-11,213.190,214.070,212.950,213.400,199.422,73633900
2016-07-12,214.530,215.300,213.430,214.950,200.870,101275600
2016-07-13,215.440,215.450,214.350,214.920,200.842,87324100
2016-07-14,216.400,216.670,215.660,216.120,201.964,91230900
2016-07-15,216.780,217.010,215.310,215.830,201.693,107155400
2016-07-18,215.970,216.600,215.670,216.410,202.235,58725900
2016-07-19,215.920,216.230,215.630,216.190,202.029,54345700
2016-07-20,216.190,217.370,216.190,217.090,202.870,58159500
2016-07-21,216.960,217.220,215.750,216.270,202.104,67777300
2016-07-22,216.410,217.300,216.100,217.240,203.010,62787500
2016-07-25,217.000,217.060,215.970,216.650,202.459,55873100
2016-07-26,216.530,217.170,215.760,216.750,202.552,70080500
2016-07-27,217.190,217.270,215.620,216.520,202.338,84083900
2016-07-28,216.290,217.110,215.750,216.770,202.571,65035700
2016-07-29,216.460,217.540,216.130,217.120,202.898,79519400
2016-08-01,217.190,217.650,216.410,216.940,202.730,73311400
2016-08-02,216.650,216.830,214.570,215.550,201.431,92295500
2016-08-03,215.480,216.250,215.130,216.180,202.020,53993600
2016-08-04,216.310,216.780,214.250,216.410,202.235,46585500
2016-08-05,216.410,218.230,216.410,218.180,203.889,71892200
2016-08-08,218.400,218.520,217.740,218.050,203.767,39906500
2016-08-09,218.130,218.760,217.800,218.180,203.889,51251700
2016-08-10,218.310,218.400,217.230,217.640,203.384,57941100
2016-08-11,218.260,218.940,217.950,218.650,204.328,72504300
2016-08-12,218.290,218.710,217.990,218.460,204.150,61313500
2016-08-15,218.890,219.500,218.880,219.090,204.739,49813500
2016-08-16,218.600,218.680,217.960,217.960,203.683,53213600
2016-08-17,218.000,218.530,217.020,218.370,204.066,75134300
2016-08-18,218.340,218.900,218.210,218.860,204.524,52989300
2016-08-19,218.310,218.750,217.740,218.540,204.225,75443000
2016-08-22,218.260,218.800,217.830,218.530,204.216,61368800
2016-08-23,219.250,219.600,218.900,218.970,204.627,53399200
2016-08-24,218.800,218.910,217.360,217.850,203.580,71728900
2016-08-25,217.400,218.190,217.220,217.700,203.440,69224800
2016-08-26,217.920,219.120,216.250,217.290,203.057,122506300
2016-08-29,217.440,218.670,217.400,218.360,204.057,70502200
2016-08-30,218.260,218.590,217.350,218.000,203.721,58114500
2016-08-31,217.610,217.750,216.470,217.380,203.141,85269500
2016-09-01,217.370,217.730,216.030,217.390,203.151,97844200
2016-09-02,218.390,218.870,217.700,218.370,204.066,79293900
2016-09-06,218.700,219.120,217.860,219.030,204.683,56702100
2016-09-07,218.840,219.220,218.300,219.010,204.664,76554900
2016-09-08,218.620,218.940,218.150,218.510,204.197,74102900
2016-09-09,216.970,217.030,213.250,213.280,199.310,221589100
2016-09-12,212.390,216.810,212.310,216.340,202.169,168110900
2016-09-13,214.840,215.150,212.500,213.230,199.263,182828800
2016-09-14,213.290,214.700,212.500,213.150,199.188,134185500
2016-09-15,212.960,215.730,212.750,215.280,201.179,134427900
2016-09-16,213.480,213.690,212.570,213.370,200.401,155236400
2016-09-19,214.130,214.880,213.030,213.410,200.439,80250500
2016-09-20,214.410,214.590,213.380,213.420,200.448,69665300
2016-09-21,214.240,216.030,213.440,215.820,202.702,110284400
2016-09-22,217.000,217.530,216.710,217.180,203.980,76678700
2016-09-23,216.720,216.880,215.880,215.990,202.862,73630900
2016-09-26,215.020,215.230,214.010,214.240,201.218,89827300
2016-09-27,214.050,215.680,213.620,215.570,202.467,78494800
2016-09-28,215.830,216.820,214.710,216.640,203.472,87411000
2016-09-29,216.400,216.870,214.040,214.680,201.631,128070600
2016-09-30,215.650,217.120,215.360,216.300,203.153,117202900
2016-10-03,215.820,216.040,215.040,215.780,202.665,83512100
2016-10-04,215.910,216.170,213.990,214.680,201.631,119948100
2016-10-05,215.410,216.130,215.330,215.630,202.524,72816000
2016-10-06,215.370,216.040,214.740,215.780,202.665,62927400
2016-10-07,216.100,216.300,214.190,215.040,201.970,89788300
2016-10-10,216.160,216.700,215.990,216.160,203.022,51855000
2016-10-11,215.660,215.740,212.580,213.430,200.457,130367400
2016-10-12,213.590,214.320,213.010,213.710,200.720,73866100
2016-10-13,212.160,213.590,211.210,213.010,200.063,101357000
2016-10-14,214.150,214.690,213.030,213.120,200.166,93346200
2016-10-17,213.090,213.390,212.170,212.380,199.471,58275700
2016-10-18,214.240,214.310,213.270,213.710,200.720,76869700
2016-10-19,214.020,214.640,213.600,214.280,201.256,66519200
2016-10-20,213.870,214.530,213.110,213.880,200.880,73639800
2016-10-21,213.880,214.080,212.760,213.980,200.974,89089100
2016-10-24,215.000,215.320,214.480,214.890,201.829,60146600
2016-10-25,214.680,214.980,213.980,214.170,201.152,66542300
2016-10-26,213.210,214.420,212.930,213.740,200.749,75705500
2016-10-27,214.580,214.620,213.080,213.170,200.213,77220200
2016-10-28,213.140,213.930,211.710,212.540,199.622,140623200
2016-10-31,212.930,213.190,212.360,212.550,199.631,61272500
2016-11-01,212.930,212.990,209.600,211.010,198.185,122781800
2016-11-02,210.650,211.100,209.230,209.740,196.992,103330800
2016-11-03,209.990,210.240,208.460,208.780,196.090,88939300
2016-11-04,208.910,209.890,208.380,208.550,195.874,109122100
2016-11-07,208.550,213.190,208.550,213.150,200.194,109794900
2016-11-08,212.690,214.770,212.380,214.110,201.096,106772100
2016-11-09,212.370,217.100,212.340,216.380,203.228,258429000
2016-11-10,217.300,218.310,215.220,216.920,203.735,172113300
2016-11-11,216.080,216.700,215.320,216.420,203.266,100552700
2016-11-14,217.030,217.270,215.720,216.590,203.425,94580000
2016-11-15,217.040,218.280,216.800,218.280,205.013,91652600
2016-11-16,217.560,218.140,217.420,217.870,204.628,65617700
2016-11-17,218.050,219.060,217.920,218.990,205.680,69797200
2016-11-18,219.070,219.270,218.290,218.500,205.219,86265800
2016-11-21,219.170,220.180,219.000,220.150,206.769,72402600
2016-11-22,220.510,220.790,219.730,220.580,207.173,67429000
2016-11-23,219.980,220.760,219.750,220.700,207.286,56620200
2016-11-25,221.100,221.560,221.010,221.520,208.056,37872300
2016-11-28,221.160,221.480,220.360,220.480,207.079,76572500
2016-11-29,220.520,221.440,220.170,220.910,207.483,69886700
2016-11-30,221.630,221.820,220.310,220.380,206.985,113291800
2016-12-01,220.730,220.730,219.150,219.570,206.224,79040500
2016-12-02,219.670,220.250,219.260,219.680,206.328,74840300
2016-12-05,220.650,221.400,220.420,221.000,207.567,67837800
2016-12-06,221.220,221.740,220.660,221.700,208.225,59877400
2016-12-07,221.520,224.670,221.380,224.600,210.949,110738100
2016-12-08,224.570,225.700,224.260,225.150,211.465,99714400
2016-12-09,225.410,226.530,225.370,226.510,212.742,88005800
2016-12-12,226.400,226.960,225.760,226.250,212.498,102016100
2016-12-13,227.020,228.340,227.000,227.760,213.916,110477500
2016-12-14,227.410,228.230,225.370,225.880,212.151,142501800
2016-12-15,226.160,227.810,225.890,226.810,213.024,124972600
2016-12-16,226.010,226.080,224.670,225.040,212.608,156420200
2016-12-19,225.250,226.020,225.080,225.530,213.070,90341100
2016-12-20,226.150,226.570,225.880,226.400,213.892,89838800
2016-12-21,226.250,226.450,225.770,225.770,213.297,67909000
2016-12-22,225.600,225.740,224.920,225.380,212.929,56219100
2016-12-23,225.430,225.720,225.210,225.710,213.241,36697800
2016-12-27,226.020,226.730,226.000,226.270,213.770,42672500
